26 7 1e-07
np.float64(0.429110867795939) np.float64(-0.903251827088889)
np.float64(0.1543605084568117) np.float64(-0.9880145917085206)
np.float64(-0.8246722264993172) np.float64(0.565610925319392)
np.float64(-0.8252027962529612) np.float64(0.5648365649073136)
np.float64(-2.4369200767165298) np.float64(-1.7874461441650549)
np.float64(-0.828577061531176) np.float64(0.57018561352399)
np.float64(-0.8213217648846758) np.float64(0.5602940830193615)
np.float64(0.29173568812637535) np.float64(-0.9456332093987048)
np.float64(-0.19778067935168908) np.float64(-0.16882045088474845)
np.float64(-0.19804596422851112) np.float64(-0.16920763109078768)
np.float64(-0.3351558590212527) np.float64(-0.21120183319456426)
np.float64(-0.33542114389807476) np.float64(-0.2115890134006035)
np.float64(-0.8249375113761392) np.float64(0.5652237451133528)
np.float64(-0.0) np.float64(-0.0)
np.float64(-0.08040028341552215) np.float64(-0.44188516449267246)
np.float64(-0.24120085024656646) np.float64(-1.3256554934780174)
np.float64(-0.08057714000007017) np.float64(-0.442143284630032)
np.float64(-0.2417314200002105) np.float64(-1.3264298538900963)
np.float64(-0.40692138498544644) np.float64(0.07573188771260557)
np.float64(-1.2207641549560855) np.float64(0.22719566313807044)
np.float64(-0.4985048380984889) np.float64(0.047477632839395024)
np.float64(-1.4955145142950457) np.float64(0.1424328985183254)
np.float64(-1.6327485691238528) np.float64(-0.6086302653205324)
np.float64(-0.8249494132079259) np.float64(0.5652398482716757)
np.float64(-1.6291209208006028) np.float64(-0.6135760305728467)
np.float64(-1.3622729677107939) np.float64(-0.21898881587390115)
