52 7 1e-07
np.float64(0.429110867795939) np.float64(-0.903251827088889)
np.float64(0.1543605084568117) np.float64(-0.9880145917085206)
np.float64(-0.8246722264993172) np.float64(0.565610925319392)
np.float64(-0.8252027962529612) np.float64(0.5648365649073136)
np.float64(-2.4369200767165298) np.float64(-1.7874461441650549)
np.float64(-0.828577061531176) np.float64(0.57018561352399)
np.float64(-0.8213217648846758) np.float64(0.5602940830193615)
np.float64(0.29173568812637535) np.float64(-0.9456332093987048)
np.float64(-0.19778067935168908) np.float64(-0.16882045088474845)
np.float64(-0.19804596422851112) np.float64(-0.16920763109078768)
np.float64(-0.3351558590212527) np.float64(-0.21120183319456426)
np.float64(-0.33542114389807476) np.float64(-0.2115890134006035)
np.float64(-0.8249375113761392) np.float64(0.5652237451133528)
np.float64(-0.0) np.float64(-0.0)
np.float64(-0.08040028341552215) np.float64(-0.44188516449267246)
np.float64(-0.24120085024656646) np.float64(-1.3256554934780174)
np.float64(-0.08057714000007017) np.float64(-0.442143284630032)
np.float64(-0.2417314200002105) np.float64(-1.3264298538900963)
np.float64(-0.40692138498544644) np.float64(0.07573188771260557)
np.float64(-1.2207641549560855) np.float64(0.22719566313807044)
np.float64(-0.4985048380984889) np.float64(0.047477632839395024)
np.float64(-1.4955145142950457) np.float64(0.1424328985183254)
np.float64(-1.6327485691238528) np.float64(-0.6086302653205324)
np.float64(-0.8249494132079259) np.float64(0.5652398482716757)
np.float64(-1.6291209208006028) np.float64(-0.6135760305728467)
np.float64(-1.3622729677107939) np.float64(-0.21898881587390115)
np.float64(0.43440271639882705) np.float64(-0.9086755347000002)
np.float64(0.25073559801939665) np.float64(-1.170665525978578)
np.float64(-0.8988324121551208) np.float64(0.6660486793931016)
np.float64(-0.8998477661069468) np.float64(0.6657313817845169)
np.float64(-0.5654826171145303) np.float64(-0.41016603782638805)
np.float64(-0.8952020773963565) np.float64(0.6603336008580062)
np.float64(-0.9035055902293969) np.float64(0.6714830949056892)
np.float64(0.3661382577188183) np.float64(-1.0462997605010236)
np.float64(12.984592922893182) np.float64(3.927294535162579)
np.float64(13.069227535307055) np.float64(3.89431065508231)
np.float64(-13.602429358556817) np.float64(-4.274720119367671)
np.float64(-13.517794746142942) np.float64(-4.30770399944794)
np.float64(-0.8993400809685821) np.float64(0.6658902962156718)
np.float64(2.2190984047257936) np.float64(1.583201704362499)
np.float64(1.6331396518213135) np.float64(-2.7580130739242548)
np.float64(-0.2469093173058393) np.float64(-1.0704717294717387)
np.float64(1.630093589965834) np.float64(-2.7589649667500082)
np.float64(-0.24734650573595304) np.float64(-1.0698905739561593)
np.float64(-1.8186104405577177) np.float64(2.7511776493650313)
np.float64(-1.1462973379306043) np.float64(0.19462002256610836)
np.float64(-2.369611795696009) np.float64(1.9652076755292969)
np.float64(-1.0247793731379191) np.float64(0.015016112111897073)
np.float64(-0.9358089673193544) np.float64(-0.3951706712004657)
np.float64(-0.8993265934153121) np.float64(0.6658720475788578)
np.float64(-0.9359123576566604) np.float64(-0.3981776456062198)
np.float64(-1.1786533092210236) np.float64(-0.21416499692615015)
