26 7 1e-07
np.float64(0.429110867795939) np.float64(-0.903251827088889)
np.float64(0.1543605084568117) np.float64(-0.9880145917085206)
np.float64(-0.8246722264993172) np.float64(0.565610925319392)
np.float64(0.951523092360778) np.float64(-0.3075773150025573)
np.float64(1.4945780310441583) np.float64(-0.5745463703040903)
np.float64(0.35516112105710584) np.float64(-0.8166164042402873)
np.float64(0.23815467472834925) np.float64(-1.120987423207739)
np.float64(0.29173568812637535) np.float64(-0.9456332093987048)
np.float64(-0.19778067935168908) np.float64(-0.16882045088474845)
np.float64(0.6903169800783585) np.float64(-0.6054145710457232)
np.float64(-0.3351558590212527) np.float64(-0.21120183319456426)
np.float64(0.5529418004087949) np.float64(-0.647795953355539)
np.float64(0.06342543293073044) np.float64(0.12901680515841737)
np.float64(-0.0) np.float64(-0.0)
np.float64(-0.08040028341552215) np.float64(-0.44188516449267246)
np.float64(-0.24120085024656646) np.float64(-1.3256554934780174)
np.float64(0.5116648228711762) np.float64(-0.7329479112666556)
np.float64(1.5349944686135286) np.float64(-2.1988437337999667)
np.float64(0.18532057788579995) np.float64(-0.21507273892401804)
np.float64(0.5559617336573998) np.float64(-0.6452182167720542)
np.float64(0.09373712477275753) np.float64(-0.24332699379722858)
np.float64(0.2812113743182725) np.float64(-0.7299809813916858)
np.float64(0.924869576050632) np.float64(-0.6955813872721888)
np.float64(0.29665789789272756) np.float64(-0.9688019137240131)
np.float64(0.8663663528862537) np.float64(-0.8477668967559147)
np.float64(0.6959646089432044) np.float64(-0.8373833992507055)
