50 7 1e-07
np.float64(0.429110867795939) np.float64(-0.903251827088889)
np.float64(0.1543605084568117) np.float64(-0.9880145917085206)
np.float64(-0.8246722264993172) np.float64(0.565610925319392)
np.float64(0.951523092360778) np.float64(-0.3075773150025573)
np.float64(1.4945780310441583) np.float64(-0.5745463703040903)
np.float64(0.35516112105710584) np.float64(-0.8166164042402873)
np.float64(0.23815467472834925) np.float64(-1.120987423207739)
np.float64(0.29173568812637535) np.float64(-0.9456332093987048)
np.float64(-0.19778067935168908) np.float64(-0.16882045088474845)
np.float64(0.6903169800783585) np.float64(-0.6054145710457232)
np.float64(-0.3351558590212527) np.float64(-0.21120183319456426)
np.float64(0.5529418004087949) np.float64(-0.647795953355539)
np.float64(0.06342543293073044) np.float64(0.12901680515841737)
np.float64(-0.0) np.float64(-0.0)
np.float64(-0.08040028341552215) np.float64(-0.44188516449267246)
np.float64(-0.24120085024656646) np.float64(-1.3256554934780174)
np.float64(0.5116648228711762) np.float64(-0.7329479112666556)
np.float64(1.5349944686135286) np.float64(-2.1988437337999667)
np.float64(0.18532057788579995) np.float64(-0.21507273892401804)
np.float64(0.5559617336573998) np.float64(-0.6452182167720542)
np.float64(0.09373712477275753) np.float64(-0.24332699379722858)
np.float64(0.2812113743182725) np.float64(-0.7299809813916858)
np.float64(0.924869576050632) np.float64(-0.6955813872721888)
np.float64(0.29665789789272756) np.float64(-0.9688019137240131)
np.float64(0.8663663528862537) np.float64(-0.8477668967559147)
np.float64(0.6959646089432044) np.float64(-0.8373833992507055)
np.float64(-2.8942482313632274) np.float64(-1.9285356729266945)
np.float64(0.09293361477675116) np.float64(-0.5094051981036893)
np.float64(1.261318491364314) np.float64(0.04566331465869966)
np.float64(1.2861003069854582) np.float64(-0.638863477278325)
np.float64(-5.270615975227016) np.float64(5.774232098728421)
np.float64(-1.8476177836507819) np.float64(-3.4992654057014114)
np.float64(-6.2176073305223944) np.float64(-2.9538195187645)
np.float64(-0.24324363824243667) np.float64(-0.1155585691184896)
np.float64(2.093526114932689) np.float64(0.9945784564062883)
np.float64(-0.28983574790781685) np.float64(-0.2522395776348575)
np.float64(1.9656310540618331) np.float64(2.2664982378535563)
np.float64(0.12419624802794382) np.float64(-0.04252901045241597)
np.float64(-0.6493090557596948) np.float64(0.07326654709215819)
np.float64(-0.6387020502246115) np.float64(-1.5761448699059515)
np.float64(2.733891147194778) np.float64(3.851373270324779)
np.float64(0.8102480473421974) np.float64(-1.3497710130156446)
np.float64(-0.028261061856053593) np.float64(0.38783239786582024)
np.float64(1.9634891314347351) np.float64(2.217902768661345)
np.float64(-0.18291144550948513) np.float64(0.30104258021341757)
np.float64(-2.420752553715543) np.float64(2.435490135819762)
np.float64(2.145110676270909) np.float64(-0.1844294866686148)
np.float64(-5.635418089248991) np.float64(-3.904546541929979)
np.float64(2.6798617646496714) np.float64(-0.617645903396441)
np.float64(3.961278487750044) np.float64(-0.031394730437128704)
