52 7 1e-07
np.float64(0.429110867795939) np.float64(-0.903251827088889)
np.float64(0.1543605084568117) np.float64(-0.9880145917085206)
np.float64(-0.8246722264993172) np.float64(0.565610925319392)
np.float64(0.951523092360778) np.float64(-0.3075773150025573)
np.float64(1.4945780310441583) np.float64(-0.5745463703040903)
np.float64(0.35516112105710584) np.float64(-0.8166164042402873)
np.float64(0.23815467472834925) np.float64(-1.120987423207739)
np.float64(0.29173568812637535) np.float64(-0.9456332093987048)
np.float64(-0.19778067935168908) np.float64(-0.16882045088474845)
np.float64(0.6903169800783585) np.float64(-0.6054145710457232)
np.float64(-0.3351558590212527) np.float64(-0.21120183319456426)
np.float64(0.5529418004087949) np.float64(-0.647795953355539)
np.float64(0.06342543293073044) np.float64(0.12901680515841737)
np.float64(-0.0) np.float64(-0.0)
np.float64(-0.08040028341552215) np.float64(-0.44188516449267246)
np.float64(-0.24120085024656646) np.float64(-1.3256554934780174)
np.float64(0.5116648228711762) np.float64(-0.7329479112666556)
np.float64(1.5349944686135286) np.float64(-2.1988437337999667)
np.float64(0.18532057788579995) np.float64(-0.21507273892401804)
np.float64(0.5559617336573998) np.float64(-0.6452182167720542)
np.float64(0.09373712477275753) np.float64(-0.24332699379722858)
np.float64(0.2812113743182725) np.float64(-0.7299809813916858)
np.float64(0.924869576050632) np.float64(-0.6955813872721888)
np.float64(0.29665789789272756) np.float64(-0.9688019137240131)
np.float64(0.8663663528862537) np.float64(-0.8477668967559147)
np.float64(0.6959646089432044) np.float64(-0.8373833992507055)
np.float64(0.9936103116024518) np.float64(-2.014034078523219)
np.float64(0.10859617581804236) np.float64(-2.13055621754016)
np.float64(-0.33559805973342893) np.float64(0.09036287221858619)
np.float64(1.4481431036447938) np.float64(-0.24294076611234972)
np.float64(0.9249753829496121) np.float64(-0.5026482057807435)
np.float64(1.0733190894641187) np.float64(-2.467865775487622)
np.float64(0.29598629994309844) np.float64(-1.8014001400381197)
np.float64(0.5558913984388019) np.float64(-2.189006783175916)
np.float64(-1.715788419888066) np.float64(0.7996979295824733)
np.float64(1.8767924013700152) np.float64(-1.0615199951846632)
np.float64(-1.5216312803129093) np.float64(0.2449035909443757)
np.float64(2.0709495409451715) np.float64(-1.6163143338227601)
np.float64(-0.20073027738169621) np.float64(1.372390378935629)
np.float64(-0.7181579684070125) np.float64(1.6512493712473346)
np.float64(-3.63410706882017) np.float64(-0.9044105101435254)
np.float64(-0.23423947606941245) np.float64(-1.3104064934478559)
np.float64(1.7171164213144985) np.float64(-1.9043214251363332)
np.float64(0.4464504639897309) np.float64(-0.7629687170000498)
np.float64(0.38453371466008424) np.float64(4.758435844139905)
np.float64(2.0761440502169983) np.float64(-1.5970267116600174)
np.float64(-2.2705086926931437) np.float64(4.4088694270890825)
np.float64(1.0849296852977988) np.float64(-3.224743816785544)
np.float64(1.3434585237166043) np.float64(-0.8564955419937547)
np.float64(0.5402534496712394) np.float64(-2.115399393721143)
np.float64(1.209392389293586) np.float64(-1.0666241610291056)
np.float64(1.322352013780795) np.float64(-1.3558547913252648)
