57 7 1e-07
np.float64(-0.3870869979731843) np.float64(-2.1485682390055993)
np.float64(-1.4616059360005391) np.float64(0.6810509848123488)
np.float64(0.6463084302424812) np.float64(-0.45794513374916784)
np.float64(0.322940614674307) np.float64(-0.631544751851653)
np.float64(-0.7453719224302768) np.float64(-1.2050670367753775)
np.float64(0.47281325167223337) np.float64(-0.7417812622367013)
np.float64(0.4530640561414942) np.float64(-0.3535269488552668)
np.float64(-0.9243464669868617) np.float64(-0.7337586270966252)
np.float64(0.12961071613464845) np.float64(-1.3032566863773836)
np.float64(-0.03207319164943864) np.float64(-1.390056495428626)
np.float64(-0.40764875287902896) np.float64(0.11155292553159049)
np.float64(-0.569332660663116) np.float64(0.024753116480347892)
np.float64(0.4846245224583941) np.float64(-0.5447449428004104)
np.float64(-0.8489325110703824) np.float64(-0.7051209492275585)
np.float64(-0.4007948345770808) np.float64(-0.6418207959808061)
np.float64(0.49548051840952234) np.float64(-0.5152204894873011)
np.float64(-1.205879880668989) np.float64(-0.8406680593419861)
np.float64(-0.5085841064331388) np.float64(-0.6996873353483011)
np.float64(0.8860074420385615) np.float64(-0.4177258873609311)
np.float64(1.2641188833929253) np.float64(-1.9967261827263107)
np.float64(0.19405401564786798) np.float64(-1.07935270820214)
np.float64(-1.9460757198422467) np.float64(0.7553942408462015)
np.float64(-0.13680281319638862) np.float64(0.6128013828280614)
np.float64(-0.16411896369458365) np.float64(-0.136146300262824)
np.float64(-0.21875126469097367) np.float64(-1.634041666444595)
np.float64(-0.13627933537902173) np.float64(-0.9734241495060394)
np.float64(0.4629386539068638) np.float64(-0.547654105545984)
np.float64(-0.14615393314439132) np.float64(-0.7792969928153222)
np.float64(0.060168461794483576) np.float64(-0.7667917492891152)
np.float64(-0.5043754534734085) np.float64(-1.839702888503139)
np.float64(-0.12387614928035101) np.float64(-1.7179582999597)
np.float64(-0.13400278964901297) np.float64(-1.6078361865943602)
np.float64(-0.7388424251320027) np.float64(-1.2222616998224365)
np.float64(-0.07077020680106921) np.float64(-1.631077585249246)
np.float64(-0.17320072674241158) np.float64(-1.691585311500846)
np.float64(-0.6216639089736327) np.float64(-1.5308375380006787)
np.float64(0.13933469941248228) np.float64(-1.287348360913801)
np.float64(0.11908141867515826) np.float64(-1.0671041341831216)
np.float64(-0.39111195075598804) np.float64(-1.7061507015758626)
np.float64(-0.42540175901869365) np.float64(-1.691655919768567)
np.float64(-0.12547911240838122) np.float64(-1.66724751362149)
np.float64(-0.5881655408265023) np.float64(-1.5201193973838438)
np.float64(-0.39312442714738993) np.float64(-1.4849419328609943)
np.float64(-0.1310291342879067) np.float64(-1.6746877396292161)
np.float64(-0.7309695687121059) np.float64(-1.5992668398876544)
np.float64(-0.4445591395414483) np.float64(-1.463199760150051)
np.float64(-0.11132157333635923) np.float64(-1.773649881749802)
np.float64(0.21345264117584567) np.float64(-2.0933436454436096)
np.float64(0.005324830374020262) np.float64(-1.4265871509294352)
np.float64(-0.5305947781439901) np.float64(-1.881253149847538)
np.float64(-0.35453099459346027) np.float64(-1.7893799074645702)
np.float64(-0.33269867139369397) np.float64(-1.6576805564990051)
np.float64(0.18729161849438974) np.float64(-0.3929513232082933)
np.float64(-0.21338161585386284) np.float64(-1.3346822077718223)
np.float64(-0.12836427737196643) np.float64(-1.661297226487895)
np.float64(-0.2624418934489384) np.float64(-1.4401849470539045)
np.float64(-0.1750516351083097) np.float64(-1.4934941130298491)
