29 7 1e-07
np.float64(-6.106684201173558) np.float64(5.11706787258739)
np.float64(-0.05392534792333037) np.float64(0.621917947444105)
np.float64(0.026964684973521225) np.float64(0.5618440482293914)
np.float64(-0.24519721512042492) np.float64(-0.19565571672129667)
np.float64(-0.538164323974351) np.float64(0.06988326234719833)
np.float64(-0.09226131708147925) np.float64(0.4580544413610948)
np.float64(-3.0994727591275186) np.float64(2.7875611569742427)
np.float64(-0.2960448359488407) np.float64(0.34590060489565166)
np.float64(-0.10911626507345185) np.float64(0.18309416575404736)
np.float64(-0.20753678955868474) np.float64(0.1402784065680195)
np.float64(-0.29187428539208504) np.float64(0.11076066232899882)
np.float64(-0.46054927705888565) np.float64(0.051725173850957484)
np.float64(-0.3273564888071517) np.float64(0.06777131381931742)
np.float64(-0.3340430333087852) np.float64(0.09600179020948849)
np.float64(-0.055139928621973595) np.float64(0.535785984399188)
np.float64(-0.03974066001042947) np.float64(0.547272145678197)
np.float64(-0.008942122787341203) np.float64(0.5702444682362151)
np.float64(-0.031097513334206142) np.float64(0.5595928968028424)
np.float64(-0.0320410257046574) np.float64(0.5530152263177015)
np.float64(-2.769438756937121) np.float64(3.203580213470172)
np.float64(-2.2059612800581294) np.float64(1.91626506105466)
np.float64(-1.0790063263001457) np.float64(-0.6583652437763634)
np.float64(-0.5334533650145569) np.float64(0.54011586828677)
np.float64(-1.9242225416186334) np.float64(1.2726074848469042)
np.float64(-4.327228628557026) np.float64(1.190498989376102)
np.float64(-2.135268921405771) np.float64(1.8477767011033996)
np.float64(2.248650492896738) np.float64(3.1623321245579947)
np.float64(-0.4544350759965212) np.float64(0.4752230032808846)
np.float64(-1.0392890678301439) np.float64(2.1764155569670485)
