29 7 1e-07
np.float64(0.6925390224952097) np.float64(0.5428821154233723)
np.float64(-0.9481582218105677) np.float64(0.7753180505376012)
np.float64(1.852612486786116) np.float64(0.3785356697829685)
np.float64(0.2925321951797488) np.float64(2.1197237415860015)
np.float64(-1.1714630509374087) np.float64(7.8908468498452855)
np.float64(0.8907539445695343) np.float64(2.7679537217445684)
np.float64(0.791646483532372) np.float64(1.6554179185839704)
np.float64(-1.0598106363739883) np.float64(4.333082450191443)
np.float64(1.0725723409829324) np.float64(1.249129705684485)
np.float64(-1.8077973560935199) np.float64(4.65817236805175)
np.float64(0.003941029603958146) np.float64(4.259508104391952)
np.float64(3.627417800998914) np.float64(3.462179577072357)
np.float64(0.4762452284424593) np.float64(2.8439378909031765)
np.float64(0.9098102224526972) np.float64(4.060175972562053)
np.float64(0.546304141408723) np.float64(1.2409889347843126)
np.float64(0.5984027365150275) np.float64(1.307269147355046)
np.float64(0.7025999267276366) np.float64(1.4398295724965124)
np.float64(0.6284928342677967) np.float64(1.3372673389756038)
np.float64(0.6244520340681798) np.float64(1.3404092536404124)
np.float64(1.8809084723549883) np.float64(4.754751520239186)
np.float64(0.4578961527813057) np.float64(2.9374215450172088)
np.float64(-2.3881284863660595) np.float64(-0.6972384054267451)
np.float64(1.0848243142292118) np.float64(0.9798680924325815)
np.float64(-0.2536100070055356) np.float64(2.0287565574062203)
np.float64(-0.05215437565587151) np.float64(1.1931281689393143)
np.float64(0.012304331954796929) np.float64(1.1459746358489917)
np.float64(0.1412217471761338) np.float64(1.0516675696683464)
np.float64(0.04092005795958725) np.float64(1.127844903821678)
np.float64(0.04453368576013115) np.float64(1.1223978693038303)
