57 7 1e-07
np.float64(0.6925390224952097) np.float64(0.5428821154233723)
np.float64(-0.9481582218105677) np.float64(0.7753180505376012)
np.float64(1.852612486786116) np.float64(0.3785356697829685)
np.float64(0.2925321951797488) np.float64(2.1197237415860015)
np.float64(-1.1714630509374087) np.float64(7.8908468498452855)
np.float64(0.8907539445695343) np.float64(2.7679537217445684)
np.float64(0.791646483532372) np.float64(1.6554179185839704)
np.float64(-1.0598106363739883) np.float64(4.333082450191443)
np.float64(1.0725723409829324) np.float64(1.249129705684485)
np.float64(-1.8077973560935199) np.float64(4.65817236805175)
np.float64(0.003941029603958146) np.float64(4.259508104391952)
np.float64(3.627417800998914) np.float64(3.462179577072357)
np.float64(0.4762452284424593) np.float64(2.8439378909031765)
np.float64(0.9098102224526972) np.float64(4.060175972562053)
np.float64(0.546304141408723) np.float64(1.2409889347843126)
np.float64(0.5984027365150275) np.float64(1.307269147355046)
np.float64(0.7025999267276366) np.float64(1.4398295724965124)
np.float64(0.6284928342677967) np.float64(1.3372673389756038)
np.float64(0.6244520340681798) np.float64(1.3404092536404124)
np.float64(1.8809084723549883) np.float64(4.754751520239186)
np.float64(0.4578961527813057) np.float64(2.9374215450172088)
np.float64(-2.3881284863660595) np.float64(-0.6972384054267451)
np.float64(1.0848243142292118) np.float64(0.9798680924325815)
np.float64(-0.2536100070055356) np.float64(2.0287565574062203)
np.float64(-0.05215437565587151) np.float64(1.1931281689393143)
np.float64(0.012304331954796929) np.float64(1.1459746358489917)
np.float64(0.1412217471761338) np.float64(1.0516675696683464)
np.float64(0.04092005795958725) np.float64(1.127844903821678)
np.float64(0.04453368576013115) np.float64(1.1223978693038303)
np.float64(1.0075584373175581) np.float64(0.4982536304804651)
np.float64(1.502592838383253) np.float64(0.4281226027574902)
np.float64(1.5671755414349198) np.float64(0.6971086350151949)
np.float64(1.8064996115693808) np.float64(0.49308779115500073)
np.float64(1.7076339771648679) np.float64(0.738686620085073)
np.float64(1.4676573674715874) np.float64(0.841832662269385)
np.float64(1.7318685067637565) np.float64(0.5424842779553389)
np.float64(1.2817385960837235) np.float64(1.0156816002474214)
np.float64(1.7371927200319268) np.float64(0.5134808509811094)
np.float64(1.7525736255391835) np.float64(0.5885503056343846)
np.float64(1.9928158397468303) np.float64(0.6221326500695699)
np.float64(1.6799751875879676) np.float64(0.6877702714571667)
np.float64(1.7873366213480335) np.float64(0.6334377484977897)
np.float64(1.3194835349633416) np.float64(0.7305190332770293)
np.float64(1.3376609573402622) np.float64(0.7598536467959338)
np.float64(1.3830037070414498) np.float64(0.8119160970179702)
np.float64(1.3462831683460394) np.float64(0.7750932706927858)
np.float64(1.3479399412203834) np.float64(0.7737862976659169)
np.float64(1.8540899245631277) np.float64(0.6070340411184998)
np.float64(1.6883954973357331) np.float64(0.6798245588085025)
np.float64(1.631061760395589) np.float64(0.3223335746058017)
np.float64(1.0453485935633178) np.float64(1.0107855141803126)
np.float64(1.558422770466741) np.float64(0.6090326928777257)
np.float64(1.4087865284209502) np.float64(0.5683422564807418)
np.float64(1.3897230093062407) np.float64(0.5715682448261183)
np.float64(1.34657802706415) np.float64(0.5775714185435029)
np.float64(1.3812709777533785) np.float64(0.5734807606186864)
np.float64(1.3796005056536564) np.float64(0.5731376597433911)
