57 7 1e-07
np.float64(-6.106684201173558) np.float64(5.11706787258739)
np.float64(-0.05392534792333037) np.float64(0.621917947444105)
np.float64(0.026964684973521225) np.float64(0.5618440482293914)
np.float64(-0.24519721512042492) np.float64(-0.19565571672129667)
np.float64(-0.538164323974351) np.float64(0.06988326234719833)
np.float64(-0.09226131708147925) np.float64(0.4580544413610948)
np.float64(-3.0994727591275186) np.float64(2.7875611569742427)
np.float64(-0.2960448359488407) np.float64(0.34590060489565166)
np.float64(-0.10911626507345185) np.float64(0.18309416575404736)
np.float64(-0.20753678955868474) np.float64(0.1402784065680195)
np.float64(-0.29187428539208504) np.float64(0.11076066232899882)
np.float64(-0.46054927705888565) np.float64(0.051725173850957484)
np.float64(-0.3273564888071517) np.float64(0.06777131381931742)
np.float64(-0.3340430333087852) np.float64(0.09600179020948849)
np.float64(-0.055139928621973595) np.float64(0.535785984399188)
np.float64(-0.03974066001042947) np.float64(0.547272145678197)
np.float64(-0.008942122787341203) np.float64(0.5702444682362151)
np.float64(-0.031097513334206142) np.float64(0.5595928968028424)
np.float64(-0.0320410257046574) np.float64(0.5530152263177015)
np.float64(-2.769438756937121) np.float64(3.203580213470172)
np.float64(-2.2059612800581294) np.float64(1.91626506105466)
np.float64(-1.0790063263001457) np.float64(-0.6583652437763634)
np.float64(-0.5334533650145569) np.float64(0.54011586828677)
np.float64(-1.9242225416186334) np.float64(1.2726074848469042)
np.float64(-4.327228628557026) np.float64(1.190498989376102)
np.float64(-2.135268921405771) np.float64(1.8477767011033996)
np.float64(2.248650492896738) np.float64(3.1623321245579947)
np.float64(-0.4544350759965212) np.float64(0.4752230032808846)
np.float64(-1.0392890678301439) np.float64(2.1764155569670485)
np.float64(-0.07811444663550175) np.float64(0.6398822556053186)
np.float64(-7.94087109737628) np.float64(6.479247547850186)
np.float64(-0.39311734083065475) np.float64(-0.6073572091722885)
np.float64(-0.9796844467279608) np.float64(-0.3144724920619756)
np.float64(-4.74453327982666) np.float64(-3.5918798828224205)
np.float64(-0.185307629443474) np.float64(0.7129611360835579)
np.float64(-2.1126427602083373) np.float64(-0.8685602252289446)
np.float64(-0.8131993666348307) np.float64(-1.7765584665739684)
np.float64(-0.9807399863219124) np.float64(-1.2497166987009154)
np.float64(-1.0179481644573305) np.float64(-0.9164659135410165)
np.float64(-0.9521930735539875) np.float64(-0.4627150260105388)
np.float64(-0.9315632986610232) np.float64(-0.7747470925982369)
np.float64(-1.0123982164213001) np.float64(-0.7793437889493562)
np.float64(-11.038063389997927) np.float64(-2.9499343431912286)
np.float64(-14.28151985787585) np.float64(-2.5638701275062563)
np.float64(-26.37770342559935) np.float64(6.739232574295048)
np.float64(-17.170094083785056) np.float64(-0.10490961436118074)
np.float64(-16.54943327547379) np.float64(-1.9184254688736617)
np.float64(-0.16199882995753231) np.float64(0.7403561126271192)
np.float64(-0.30042390958531) np.float64(0.760427431097407)
np.float64(-0.38082931572907325) np.float64(0.11192807049642717)
np.float64(-1.754739235095691) np.float64(0.4927649324147576)
np.float64(-0.4255038054474443) np.float64(0.726665780777544)
np.float64(-0.19800931876768832) np.float64(0.594325614594848)
np.float64(-0.31468101635940365) np.float64(0.7650290148129617)
np.float64(0.21687790883119268) np.float64(0.7841378903279083)
np.float64(-1.98516448244181) np.float64(0.1997900025404673)
np.float64(-0.25784522680990035) np.float64(0.9931165926518182)
