77 7 1e-07
np.float64(-0.9498260311319191) np.float64(-0.9591841055911727)
np.float64(0.6865071767412504) np.float64(-0.14585138627250122)
np.float64(-0.7142544247243059) np.float64(2.70330019831775)
np.float64(-0.8399932490512715) np.float64(0.8725695860195204)
np.float64(-0.32585775970499153) np.float64(0.5327549021513586)
np.float64(0.7024132189875684) np.float64(-0.1468744655849652)
np.float64(0.690008523029656) np.float64(-0.15297313084015107)
np.float64(-0.8909861115347237) np.float64(-0.044386752657612494)
np.float64(0.6988542900749539) np.float64(-0.13971430415797914)
np.float64(-0.01387362399152775) np.float64(1.2787244060226244)
np.float64(-0.8320402279281125) np.float64(0.8720580463632885)
np.float64(-0.13165942719533436) np.float64(-0.552517745931837)
np.float64(-0.06879001503185156) np.float64(0.3628475602172776)
np.float64(-0.12370640607217537) np.float64(-0.553029285588069)
np.float64(0.6944601978644094) np.float64(-0.1463629259287332)
np.float64(-0.005920602868368763) np.float64(1.2782128663663923)
np.float64(0.9220787831488636) np.float64(3.5166329176364215)
np.float64(-2.3505876325974753) np.float64(1.8899674789990784)
np.float64(0.4509355703336372) np.float64(-3.8083356901814236)
np.float64(0.6776038270717436) np.float64(-0.15907179609533695)
np.float64(-2.484385442057016) np.float64(0.05810096026974021)
np.float64(0.6952953611623395) np.float64(-0.13255414273099309)
np.float64(-0.7301604669706239) np.float64(2.704323277630214)
np.float64(-2.3664936748437935) np.float64(1.8909905583115423)
np.float64(-0.9657320733782371) np.float64(-0.9581610262787088)
np.float64(-0.20770034227899292) np.float64(0.1567329798617333)
np.float64(1.8212771563975076) np.float64(3.207659111083852)
np.float64(-5.134804999264382) np.float64(1.8239800201734222)
np.float64(0.1612551889407809) np.float64(-1.6980937670409257)
np.float64(0.3926359113327675) np.float64(0.4518832893697405)
np.float64(-0.8752881894884625) np.float64(0.19967234247346877)
np.float64(0.09005439873262144) np.float64(-0.44231579679037103)
np.float64(-0.10087175253567533) np.float64(-0.09693164981045661)
np.float64(-2.3823997170901112) np.float64(1.892013637624006)
np.float64(0.18827772964128842) np.float64(0.19294021828319674)
np.float64(-0.5829255043781315) np.float64(0.7026622440854395)
np.float64(-1.0596588132125668) np.float64(-2.790937797201866)
np.float64(2.2130076025337724) np.float64(-1.164272358564523)
np.float64(-0.5885156003973403) np.float64(4.534030810615979)
np.float64(-0.45977334235282075) np.float64(-0.7156054236598922)
np.float64(-0.9323364909007092) np.float64(-0.6872703229574797)
np.float64(-0.9172093901088362) np.float64(-0.41521488738359724)
np.float64(-0.7112347647737908) np.float64(-0.3887005834525529)
np.float64(-0.46240265251629054) np.float64(-0.7195464688595451)
np.float64(-0.4587154885891975) np.float64(-0.7177337054827857)
np.float64(-0.8798048768577202) np.float64(0.12945039659538082)
np.float64(-0.4634433904573632) np.float64(-0.7174296060394563)
np.float64(-0.7907651868931669) np.float64(-0.5788617574987595)
np.float64(-0.9148469506694994) np.float64(-0.41535654032378666)
np.float64(0.03027934642627761) np.float64(-0.4720267417286117)
np.float64(-0.6007615527967813) np.float64(-0.4353981475429538)
np.float64(0.02502072609933803) np.float64(-0.47990883212791746)
np.float64(-0.46108866606911564) np.float64(-0.7175862167260783)
np.float64(-0.789758029086556) np.float64(-0.5797650956354458)
np.float64(-0.870295609012543) np.float64(-0.7690229315449661)
np.float64(-1.0887932631161072) np.float64(-0.6765245089834293)
np.float64(-0.810858799147731) np.float64(-1.2418437021989162)
np.float64(-0.4549721156067869) np.float64(-0.7158933073930229)
np.float64(-1.4025329455242665) np.float64(-0.6590771302961063)
np.float64(-0.46450247571648867) np.float64(-0.7153218626786637)
np.float64(-0.9335177106203777) np.float64(-0.6871994964873851)
np.float64(-1.0896686488570955) np.float64(-0.6778366154135866)
np.float64(-63.55999300355614) np.float64(3.067912364256771)
np.float64(-0.5366206784916236) np.float64(-0.3378568563962189)
np.float64(-0.839166020943237) np.float64(-0.7927872298317411)
np.float64(-1.1155018202610363) np.float64(-0.8490036443933797)
np.float64(-0.3257945197463361) np.float64(-1.374187891526577)
np.float64(-0.5959240086478714) np.float64(-0.5871962010244853)
np.float64(-0.8945515692377254) np.float64(-0.09981971876346729)
np.float64(-0.1786897877455218) np.float64(-0.5758939940289705)
np.float64(-0.37001949266952416) np.float64(-0.3702953700357403)
np.float64(-1.090528303631887) np.float64(-0.6791496433157971)
np.float64(-0.5158776166246822) np.float64(-0.5198897803348892)
np.float64(-0.823149138787383) np.float64(-0.3854113367327232)
np.float64(-0.982442672155002) np.float64(-1.5031533237987482)
np.float64(-0.6349776768490188) np.float64(-0.9795998803079025)
np.float64(-0.9379039377134698) np.float64(-0.7779255095813868)
