77 7 1e-07
np.float64(-0.9498260311319191) np.float64(-0.9591841055911727)
np.float64(0.6865071767412504) np.float64(-0.14585138627250122)
np.float64(-0.7142544247243059) np.float64(2.70330019831775)
np.float64(-0.8399932490512715) np.float64(0.8725695860195204)
np.float64(-0.32585775970499153) np.float64(0.5327549021513586)
np.float64(0.7024132189875684) np.float64(-0.1468744655849652)
np.float64(0.690008523029656) np.float64(-0.15297313084015107)
np.float64(-0.8909861115347237) np.float64(-0.044386752657612494)
np.float64(0.6988542900749539) np.float64(-0.13971430415797914)
np.float64(-0.01387362399152775) np.float64(1.2787244060226244)
np.float64(-0.8320402279281125) np.float64(0.8720580463632885)
np.float64(-0.13165942719533436) np.float64(-0.552517745931837)
np.float64(-0.06879001503185156) np.float64(0.3628475602172776)
np.float64(-0.12370640607217537) np.float64(-0.553029285588069)
np.float64(0.6944601978644094) np.float64(-0.1463629259287332)
np.float64(-0.005920602868368763) np.float64(1.2782128663663923)
np.float64(0.9220787831488636) np.float64(3.5166329176364215)
np.float64(-2.3505876325974753) np.float64(1.8899674789990784)
np.float64(0.4509355703336372) np.float64(-3.8083356901814236)
np.float64(0.6776038270717436) np.float64(-0.15907179609533695)
np.float64(-2.484385442057016) np.float64(0.05810096026974021)
np.float64(0.6952953611623395) np.float64(-0.13255414273099309)
np.float64(-0.7301604669706239) np.float64(2.704323277630214)
np.float64(-2.3664936748437935) np.float64(1.8909905583115423)
np.float64(-0.9657320733782371) np.float64(-0.9581610262787088)
np.float64(-0.20770034227899292) np.float64(0.1567329798617333)
np.float64(1.8212771563975076) np.float64(3.207659111083852)
np.float64(-5.134804999264382) np.float64(1.8239800201734222)
np.float64(0.1612551889407809) np.float64(-1.6980937670409257)
np.float64(0.3926359113327675) np.float64(0.4518832893697405)
np.float64(-0.8752881894884625) np.float64(0.19967234247346877)
np.float64(0.09005439873262144) np.float64(-0.44231579679037103)
np.float64(-0.10087175253567533) np.float64(-0.09693164981045661)
np.float64(-2.3823997170901112) np.float64(1.892013637624006)
np.float64(0.18827772964128842) np.float64(0.19294021828319674)
np.float64(-0.5829255043781315) np.float64(0.7026622440854395)
np.float64(-1.0596588132125668) np.float64(-2.790937797201866)
np.float64(2.2130076025337724) np.float64(-1.164272358564523)
np.float64(-0.5885156003973403) np.float64(4.534030810615979)
np.float64(0.19889798048693436) np.float64(-0.39442353094853805)
np.float64(-54.905738481490104) np.float64(112.92887499283482)
np.float64(0.5513877876917662) np.float64(0.1289816909737777)
np.float64(0.23903220668943692) np.float64(0.14931114434070913)
np.float64(0.013759430403435191) np.float64(0.3035071835281522)
np.float64(65.61219930521564) np.float64(31.76548021595996)
np.float64(0.06046502848571966) np.float64(-0.10973462358250921)
np.float64(35.50982034058059) np.float64(52.03807459069752)
np.float64(0.4134565984650051) np.float64(0.40953397477330433)
np.float64(0.23800272709043446) np.float64(0.15143238364997813)
np.float64(-0.29429121825525373) np.float64(-0.6315991514350143)
np.float64(-0.21134202298926785) np.float64(0.45975243228525486)
np.float64(-0.2996993080206084) np.float64(-0.6395547272364506)
np.float64(70.78163795407183) np.float64(103.9247167977465)
np.float64(0.41522127522669283) np.float64(0.41212990426999596)
np.float64(0.7071736542961539) np.float64(0.11845014194835363)
np.float64(0.46341679653648626) np.float64(-0.0007288286661246424)
np.float64(0.6721922954425242) np.float64(-0.4253785641453171)
np.float64(-64.23218225915632) np.float64(-32.071426477640266)
np.float64(0.37637442759587886) np.float64(-0.13211874655047143)
np.float64(12.5735951215409) np.float64(45.74417888315307)
np.float64(0.5505167422706116) np.float64(0.1276761207491786)
np.float64(0.4639357623582817) np.float64(-0.0017923091021318227)
np.float64(0.20156129509093945) np.float64(-0.3905053845941594)
np.float64(-0.3054558585233331) np.float64(0.19045825751651085)
np.float64(0.7799801328395519) np.float64(0.11430334431924116)
np.float64(0.5360627853575634) np.float64(-0.10072364508217779)
np.float64(0.49174915976694705) np.float64(-0.7323257585169106)
np.float64(0.03540902472809915) np.float64(1.178483411020034)
np.float64(0.08201122853108733) np.float64(-0.015997507000165362)
np.float64(-0.6622624501447352) np.float64(-0.8051391425728429)
np.float64(-0.5680883462587143) np.float64(-0.06382485642738503)
np.float64(0.46445543324848304) np.float64(-0.002845593045653294)
np.float64(-0.6609460461921763) np.float64(0.778429178348568)
np.float64(0.14890387966701302) np.float64(0.2107442845395021)
np.float64(0.5153943941501633) np.float64(-0.4162379770713913)
np.float64(1.1456889839248454) np.float64(-0.45555328626771413)
np.float64(0.6358398083630761) np.float64(0.04560660222373572)
