77 7 1e-07
np.float64(-0.9498260311319191) np.float64(-0.9591841055911727)
np.float64(0.6865071767412504) np.float64(-0.14585138627250122)
np.float64(-0.7142544247243059) np.float64(2.70330019831775)
np.float64(-0.8399932490512715) np.float64(0.8725695860195204)
np.float64(-0.32585775970499153) np.float64(0.5327549021513586)
np.float64(0.7024132189875684) np.float64(-0.1468744655849652)
np.float64(0.690008523029656) np.float64(-0.15297313084015107)
np.float64(-0.8909861115347237) np.float64(-0.044386752657612494)
np.float64(0.6988542900749539) np.float64(-0.13971430415797914)
np.float64(-0.01387362399152775) np.float64(1.2787244060226244)
np.float64(-0.8320402279281125) np.float64(0.8720580463632885)
np.float64(-0.13165942719533436) np.float64(-0.552517745931837)
np.float64(-0.06879001503185156) np.float64(0.3628475602172776)
np.float64(-0.12370640607217537) np.float64(-0.553029285588069)
np.float64(0.6944601978644094) np.float64(-0.1463629259287332)
np.float64(-0.005920602868368763) np.float64(1.2782128663663923)
np.float64(0.9220787831488636) np.float64(3.5166329176364215)
np.float64(-2.3505876325974753) np.float64(1.8899674789990784)
np.float64(0.4509355703336372) np.float64(-3.8083356901814236)
np.float64(0.6776038270717436) np.float64(-0.15907179609533695)
np.float64(-2.484385442057016) np.float64(0.05810096026974021)
np.float64(0.6952953611623395) np.float64(-0.13255414273099309)
np.float64(-0.7301604669706239) np.float64(2.704323277630214)
np.float64(-2.3664936748437935) np.float64(1.8909905583115423)
np.float64(-0.9657320733782371) np.float64(-0.9581610262787088)
np.float64(-0.20770034227899292) np.float64(0.1567329798617333)
np.float64(1.8212771563975076) np.float64(3.207659111083852)
np.float64(-5.134804999264382) np.float64(1.8239800201734222)
np.float64(0.1612551889407809) np.float64(-1.6980937670409257)
np.float64(0.3926359113327675) np.float64(0.4518832893697405)
np.float64(-0.8752881894884625) np.float64(0.19967234247346877)
np.float64(0.09005439873262144) np.float64(-0.44231579679037103)
np.float64(-0.10087175253567533) np.float64(-0.09693164981045661)
np.float64(-2.3823997170901112) np.float64(1.892013637624006)
np.float64(0.18827772964128842) np.float64(0.19294021828319674)
np.float64(-0.5829255043781315) np.float64(0.7026622440854395)
np.float64(-1.0596588132125668) np.float64(-2.790937797201866)
np.float64(2.2130076025337724) np.float64(-1.164272358564523)
np.float64(-0.5885156003973403) np.float64(4.534030810615979)
np.float64(0.2149898403719399) np.float64(-0.3865121023165926)
np.float64(-61.90775375343674) np.float64(3.880222004262328)
np.float64(0.5625706012623919) np.float64(0.13447302459262112)
np.float64(0.2511907579436468) np.float64(0.15135823986163793)
np.float64(0.02557952742168601) np.float64(0.30047459258493936)
np.float64(-64.21977756319748) np.float64(-32.06532781238579)
np.float64(0.07740984297512277) np.float64(-0.10667414332275255)
np.float64(-54.963354939805626) np.float64(111.84633915590518)
np.float64(0.4210086739876328) np.float64(0.4131944589657863)
np.float64(0.2501417520441549) np.float64(0.1534501241388032)
np.float64(-0.2671865428671728) np.float64(-0.6184300666735233)
np.float64(-0.20003170310027485) np.float64(0.44959094530824073)
np.float64(-0.27243353824368843) np.float64(-0.6261497390482204)
np.float64(-124.51792072586126) np.float64(7.907318474107889)
np.float64(0.4227279835372154) np.float64(0.4158205147702073)
np.float64(0.7187215394991098) np.float64(0.12511014351882277)
np.float64(0.4757535848307154) np.float64(0.004343916733881903)
np.float64(0.683743118776842) np.float64(-0.4187071646212818)
np.float64(-31.758682172105186) np.float64(-16.1061011389852)
np.float64(0.38991153098134557) np.float64(-0.12677430445385873)
np.float64(-27.130470860408334) np.float64(55.849732345159595)
np.float64(0.5617109464876007) np.float64(0.13315999669041068)
np.float64(0.47627748551586163) np.float64(0.0032878292769191186)
np.float64(0.21761333806019773) np.float64(-0.3826522661292441)
np.float64(-0.2863203037134914) np.float64(0.18296004279993172)
np.float64(0.7918883189299898) np.float64(0.12138623797069903)
np.float64(0.5486297488521645) np.float64(-0.094951643682546)
np.float64(0.5019199632113728) np.float64(-0.7215846073616511)
np.float64(0.020794236340295535) np.float64(1.1706030955512543)
np.float64(0.09775302274306863) np.float64(-0.014059054606201826)
np.float64(-0.6222677485755085) np.float64(-0.785985874670836)
np.float64(-0.537681405295723) np.float64(-0.06977378580242721)
np.float64(0.4768019884656076) np.float64(0.002241887138336479)
np.float64(-0.6512541641441966) np.float64(0.7478236507548437)
np.float64(0.16094626573486248) np.float64(0.21100478095095854)
np.float64(0.5278809798199995) np.float64(-0.4087674446090744)
np.float64(1.157823884600015) np.float64(-0.4535973401575682)
np.float64(0.6476603461457477) np.float64(0.051659340093456574)
