77 7 1e-07
np.float64(-0.9498260311319191) np.float64(-0.9591841055911727)
np.float64(0.6865071767412504) np.float64(-0.14585138627250122)
np.float64(-0.7142544247243059) np.float64(2.70330019831775)
np.float64(-0.8399932490512715) np.float64(0.8725695860195204)
np.float64(-0.32585775970499153) np.float64(0.5327549021513586)
np.float64(0.7024132189875684) np.float64(-0.1468744655849652)
np.float64(0.690008523029656) np.float64(-0.15297313084015107)
np.float64(-0.8909861115347237) np.float64(-0.044386752657612494)
np.float64(0.6988542900749539) np.float64(-0.13971430415797914)
np.float64(-0.01387362399152775) np.float64(1.2787244060226244)
np.float64(-0.8320402279281125) np.float64(0.8720580463632885)
np.float64(-0.13165942719533436) np.float64(-0.552517745931837)
np.float64(-0.06879001503185156) np.float64(0.3628475602172776)
np.float64(-0.12370640607217537) np.float64(-0.553029285588069)
np.float64(0.6944601978644094) np.float64(-0.1463629259287332)
np.float64(-0.005920602868368763) np.float64(1.2782128663663923)
np.float64(0.9220787831488636) np.float64(3.5166329176364215)
np.float64(-2.3505876325974753) np.float64(1.8899674789990784)
np.float64(0.4509355703336372) np.float64(-3.8083356901814236)
np.float64(0.6776038270717436) np.float64(-0.15907179609533695)
np.float64(-2.484385442057016) np.float64(0.05810096026974021)
np.float64(0.6952953611623395) np.float64(-0.13255414273099309)
np.float64(-0.7301604669706239) np.float64(2.704323277630214)
np.float64(-2.3664936748437935) np.float64(1.8909905583115423)
np.float64(-0.9657320733782371) np.float64(-0.9581610262787088)
np.float64(-0.20770034227899292) np.float64(0.1567329798617333)
np.float64(1.8212771563975076) np.float64(3.207659111083852)
np.float64(-5.134804999264382) np.float64(1.8239800201734222)
np.float64(0.1612551889407809) np.float64(-1.6980937670409257)
np.float64(0.3926359113327675) np.float64(0.4518832893697405)
np.float64(-0.8752881894884625) np.float64(0.19967234247346877)
np.float64(0.09005439873262144) np.float64(-0.44231579679037103)
np.float64(-0.10087175253567533) np.float64(-0.09693164981045661)
np.float64(-2.3823997170901112) np.float64(1.892013637624006)
np.float64(0.18827772964128842) np.float64(0.19294021828319674)
np.float64(-0.5829255043781315) np.float64(0.7026622440854395)
np.float64(-1.0596588132125668) np.float64(-2.790937797201866)
np.float64(2.2130076025337724) np.float64(-1.164272358564523)
np.float64(-0.5885156003973403) np.float64(4.534030810615979)
np.float64(-0.41785449336698927) np.float64(-0.16093839783094122)
np.float64(0.8420313161930417) np.float64(-0.25059818892792873)
np.float64(-0.17829576071549286) np.float64(0.7599151715741208)
np.float64(-0.9712349371196947) np.float64(0.9593129711104835)
np.float64(-2.7761247812953815) np.float64(2.152243792896895)
np.float64(0.8336549070559913) np.float64(-0.23361785067592822)
np.float64(0.8325605309870722) np.float64(-0.24987800290812823)
np.float64(-1.0454483285952072) np.float64(-0.12089199890884961)
np.float64(0.843068111795813) np.float64(-0.23412830114924432)
np.float64(-0.003556732985685762) np.float64(1.4507859966324284)
np.float64(-0.9754285516592635) np.float64(0.9677210894926652)
np.float64(-0.14347041587475695) np.float64(-0.7244832359279897)
np.float64(-0.13402329707801736) np.float64(-0.725090876197873)
np.float64(0.8378485215955602) np.float64(-0.2420259690581099)
np.float64(0.005890385811053861) np.float64(1.450178356362545)
np.float64(0.02188094034234636) np.float64(0.6514394827072996)
np.float64(-0.37146805569554364) np.float64(0.565418402309972)
np.float64(-0.0393752781520071) np.float64(0.12677248282463913)
np.float64(0.8310178438835223) np.float64(-0.2663472589770671)
np.float64(-0.4762810635634353) np.float64(0.31143931935055763)
np.float64(0.8526281490049796) np.float64(-0.23456228665735168)
np.float64(-0.18050951763676215) np.float64(0.758372491432479)
np.float64(-0.3705372650811112) np.float64(0.5635318152942426)
np.float64(-0.4205914956909232) np.float64(-0.15528264938558445)
np.float64(-2.317283101407872) np.float64(-2.973457364802425)
np.float64(0.0932346298831169) np.float64(0.6067169783769405)
np.float64(-0.2510245988449135) np.float64(0.4154073861484285)
np.float64(-0.015296105945999505) np.float64(-0.11639654523575893)
np.float64(2.0206110071748946) np.float64(0.7660137736325955)
np.float64(-1.2599572293892103) np.float64(0.12184395261084136)
np.float64(0.16705229550777928) np.float64(-0.8326089369818735)
np.float64(-0.21981537615368188) np.float64(-1.8015714093747586)
np.float64(-0.3696049890611326) np.float64(0.5616693638483463)
np.float64(2.638544751231677) np.float64(-1.42654867246234)
np.float64(-1.4224573981636164) np.float64(1.2575456765570865)
np.float64(-0.1594609704060495) np.float64(0.07425563772725591)
np.float64(0.23388802563184052) np.float64(0.16027671812458344)
np.float64(-0.098204751911696) np.float64(0.5989226376099162)
