77 7 1e-07
np.float64(-0.9498260311319191) np.float64(-0.9591841055911727)
np.float64(0.6865071767412504) np.float64(-0.14585138627250122)
np.float64(-0.7142544247243059) np.float64(2.70330019831775)
np.float64(-0.8399932490512715) np.float64(0.8725695860195204)
np.float64(-0.32585775970499153) np.float64(0.5327549021513586)
np.float64(0.7024132189875684) np.float64(-0.1468744655849652)
np.float64(0.690008523029656) np.float64(-0.15297313084015107)
np.float64(-0.8909861115347237) np.float64(-0.044386752657612494)
np.float64(0.6988542900749539) np.float64(-0.13971430415797914)
np.float64(-0.01387362399152775) np.float64(1.2787244060226244)
np.float64(-0.8320402279281125) np.float64(0.8720580463632885)
np.float64(-0.13165942719533436) np.float64(-0.552517745931837)
np.float64(-0.06879001503185156) np.float64(0.3628475602172776)
np.float64(-0.12370640607217537) np.float64(-0.553029285588069)
np.float64(0.6944601978644094) np.float64(-0.1463629259287332)
np.float64(-0.005920602868368763) np.float64(1.2782128663663923)
np.float64(0.9220787831488636) np.float64(3.5166329176364215)
np.float64(-2.3505876325974753) np.float64(1.8899674789990784)
np.float64(0.4509355703336372) np.float64(-3.8083356901814236)
np.float64(0.6776038270717436) np.float64(-0.15907179609533695)
np.float64(-2.484385442057016) np.float64(0.05810096026974021)
np.float64(0.6952953611623395) np.float64(-0.13255414273099309)
np.float64(-0.7301604669706239) np.float64(2.704323277630214)
np.float64(-2.3664936748437935) np.float64(1.8909905583115423)
np.float64(-0.9657320733782371) np.float64(-0.9581610262787088)
np.float64(-0.20770034227899292) np.float64(0.1567329798617333)
np.float64(1.8212771563975076) np.float64(3.207659111083852)
np.float64(-5.134804999264382) np.float64(1.8239800201734222)
np.float64(0.1612551889407809) np.float64(-1.6980937670409257)
np.float64(0.3926359113327675) np.float64(0.4518832893697405)
np.float64(-0.8752881894884625) np.float64(0.19967234247346877)
np.float64(0.09005439873262144) np.float64(-0.44231579679037103)
np.float64(-0.10087175253567533) np.float64(-0.09693164981045661)
np.float64(-2.3823997170901112) np.float64(1.892013637624006)
np.float64(0.18827772964128842) np.float64(0.19294021828319674)
np.float64(-0.5829255043781315) np.float64(0.7026622440854395)
np.float64(-1.0596588132125668) np.float64(-2.790937797201866)
np.float64(2.2130076025337724) np.float64(-1.164272358564523)
np.float64(-0.5885156003973403) np.float64(4.534030810615979)
np.float64(-0.8726098900743544) np.float64(0.3286003678119449)
np.float64(-0.38667398073756554) np.float64(0.5701328213818266)
np.float64(-0.8026530486298188) np.float64(1.4162349840921542)
np.float64(0.5136741340804932) np.float64(-0.022128530320288387)
np.float64(-0.38877078800735) np.float64(0.5743368805729174)
np.float64(-0.3890169327110524) np.float64(0.5702853108386602)
np.float64(-0.9004536549135946) np.float64(-0.21463261629732378)
np.float64(-0.3864265919324294) np.float64(0.5742046028427144)
np.float64(0.13485350817998532) np.float64(1.3518448594827759)
np.float64(124.38034069579737) np.float64(-7.181623353674632)
np.float64(-0.5603080136009186) np.float64(0.3098746056643482)
np.float64(0.06245167303657151) np.float64(0.2761041751263146)
np.float64(-0.558588704051336) np.float64(0.3125006614687691)
np.float64(-0.387721782107858) np.float64(0.5722449962957522)
np.float64(0.1296065128034698) np.float64(1.3441251871080786)
np.float64(-0.6654610098837026) np.float64(1.1344625650436297)
np.float64(-1.295403914663718) np.float64(1.1792924605921236)
np.float64(-0.7852403762094509) np.float64(0.6740357803410988)
np.float64(-0.38931797604180957) np.float64(0.5662068044568174)
np.float64(-1.3283224058329495) np.float64(0.6306998064564568)
np.float64(-0.38406418563743916) np.float64(0.5740816553362593)
np.float64(-0.8073766080281886) np.float64(1.4165388042270957)
np.float64(-1.2933125173649773) np.float64(1.1750063506572141)
np.float64(-0.8773334494727242) np.float64(0.3289041879468867)
np.float64(-0.14685406642466836) np.float64(0.08784719743655267)
np.float64(-0.627686131929696) np.float64(1.0588550999876494)
np.float64(-1.0619405797609267) np.float64(0.9217365853086731)
np.float64(-0.708437128993584) np.float64(0.5348047677479119)
np.float64(-0.11335783034490887) np.float64(0.6245748337171311)
np.float64(-0.9177291703495506) np.float64(-0.6094640006133798)
np.float64(-0.48144308346259623) np.float64(0.3656575231160911)
np.float64(-0.3426813331552019) np.float64(0.22024852740173817)
np.float64(-1.291215710095193) np.float64(1.1708022914661234)
np.float64(-0.16315955748538913) np.float64(0.425220527849616)
np.float64(1.8673415172122585) np.float64(-0.9168266466600969)
np.float64(-0.8563015695628129) np.float64(0.6005849769157326)
np.float64(-0.6133336148944185) np.float64(0.7213512037006735)
np.float64(-0.8213231488405451) np.float64(1.1444022850558373)
