77 7 1e-07
np.float64(0.25198196374469656) np.float64(-0.26865868339217663)
np.float64(0.6600829482796683) np.float64(-0.6242032642156299)
np.float64(0.6025835230966596) np.float64(0.2654034904036178)
np.float64(0.6920961296146465) np.float64(-0.17547249825356231)
np.float64(0.5048828117070082) np.float64(-0.20915281906806293)
np.float64(0.13045617589173175) np.float64(-0.2765134606970642)
np.float64(0.6355002463912853) np.float64(-0.24387011171727763)
np.float64(0.2117782992207668) np.float64(-0.3298998727066034)
np.float64(0.1867850847496168) np.float64(-0.21185804361984936)
np.float64(0.631333235688164) np.float64(-0.17939988690600603)
np.float64(0.42728274342067807) np.float64(-0.0016275964942794041)
np.float64(0.45603245601218245) np.float64(-0.4464309738039033)
np.float64(0.41127615275318913) np.float64(-0.22599297947531324)
np.float64(0.19121906981821415) np.float64(-0.2725860720446204)
np.float64(0.3952695620857) np.float64(-0.45035836245634703)
np.float64(0.3665198494941957) np.float64(-0.005554985146723174)
np.float64(1.0106845076316315) np.float64(-0.09014109041983542)
np.float64(0.19448253856168785) np.float64(0.6209480712270711)
np.float64(0.30948138892770527) np.float64(-1.1582654380114243)
np.float64(1.140544316890839) np.float64(-0.21122676273749108)
np.float64(0.29310042254980184) np.float64(-0.3832862847161427)
np.float64(0.24311399360750185) np.float64(-0.14720262654263455)
np.float64(1.1322102954845963) np.float64(-0.08228631311494788)
np.float64(0.7241093109496244) np.float64(0.27325826770850536)
np.float64(0.7816087361326332) np.float64(-0.6163484869107424)
np.float64(0.46944163227225494) np.float64(-0.23876807578677375)
np.float64(1.812619601238628) np.float64(-0.054143469824460104)
np.float64(0.16260242114281634) np.float64(0.3815939298680644)
np.float64(0.32372086380488696) np.float64(-0.7905723772710799)
np.float64(0.6344810032225534) np.float64(-0.22810081307442048)
np.float64(0.33118753250419264) np.float64(-0.1480069147388497)
np.float64(0.36080308576096476) np.float64(-0.36346551228551977)
np.float64(0.43200203610112087) np.float64(-0.26107439565340546)
np.float64(1.2537360833375613) np.float64(-0.07443153581006046)
np.float64(0.31766949379936993) np.float64(-0.24283313988256355)
np.float64(0.5984894706608274) np.float64(-0.19231265866081262)
np.float64(-0.1881322021252534) np.float64(-0.36184486853079095)
np.float64(0.6280697669446901) np.float64(-1.0729340301776975)
np.float64(0.5130709165786728) np.float64(0.706279479060798)
np.float64(1.6450160488915793) np.float64(-1.4822938831227184)
np.float64(1.1109966266071827) np.float64(1.0398558566422904)
np.float64(2.4266294284803216) np.float64(0.19178344043610462)
np.float64(3.998673027418766) np.float64(0.6129124615673032)
np.float64(-7.942490658848414) np.float64(-0.798305589770133)
np.float64(2.8485719740776405) np.float64(-0.10082898532070861)
np.float64(-7.2391729812610395) np.float64(-11.679738832509834)
np.float64(-8.467738832738824) np.float64(7.328111706701329)
np.float64(2.7497760061940766) np.float64(0.31905541324747705)
np.float64(1.9700112894696684) np.float64(2.3483703966767577)
np.float64(3.0380501340384622) np.float64(-2.69592908285326)
np.float64(6.109462511171128) np.float64(1.3002217151386146)
np.float64(-16.136963281441528) np.float64(-1.327952496148082)
np.float64(2.9279485363690463) np.float64(-3.6619898094757795)
np.float64(1.6429757880244755) np.float64(2.92657769634165)
np.float64(1.5008789849693864) np.float64(0.025198364927650152)
np.float64(0.1796289187085069) np.float64(0.8507569868793456)
np.float64(0.3243350087808862) np.float64(-1.388074353663699)
np.float64(1.3727133766547732) np.float64(-0.19622059578519596)
np.float64(3.0245958337269956) np.float64(-7.997987227052699)
np.float64(-0.3459844415020354) np.float64(7.9211119840965765)
np.float64(1.3393056961125092) np.float64(-0.03843762147803581)
np.float64(1.1659332968232452) np.float64(0.7803924313303756)
np.float64(1.5714547625675237) np.float64(-1.1348672326736824)
np.float64(4.7652642079705165) np.float64(0.35170807007544297)
np.float64(0.8808639266176945) np.float64(-0.1822166129630566)
np.float64(0.0445168250838926) np.float64(1.2406883623349083)
np.float64(0.5104629159725704) np.float64(-2.149155156873065)
np.float64(2.837300385192671) np.float64(0.005472748180380627)
np.float64(4.054389862869601) np.float64(5.52344969176293)
np.float64(5.4761385530714355) np.float64(-4.820033551612048)
np.float64(5.797075770348928) np.float64(-0.03504258482457903)
np.float64(1.2140641427050103) np.float64(-0.08212341120882508)
np.float64(13.437455931912252) np.float64(4.915308979516702)
np.float64(3.0043096386611796) np.float64(0.3377618776170583)
np.float64(-1.9226655009909284) np.float64(-0.7291008072204579)
np.float64(0.7290685913408659) np.float64(-1.2889231258755651)
np.float64(0.5082852568848686) np.float64(0.688409238986069)
