77 7 1e-07
np.float64(0.25198196374469656) np.float64(-0.26865868339217663)
np.float64(0.6600829482796683) np.float64(-0.6242032642156299)
np.float64(0.6025835230966596) np.float64(0.2654034904036178)
np.float64(0.6920961296146465) np.float64(-0.17547249825356231)
np.float64(0.5048828117070082) np.float64(-0.20915281906806293)
np.float64(0.13045617589173175) np.float64(-0.2765134606970642)
np.float64(0.6355002463912853) np.float64(-0.24387011171727763)
np.float64(0.2117782992207668) np.float64(-0.3298998727066034)
np.float64(0.1867850847496168) np.float64(-0.21185804361984936)
np.float64(0.631333235688164) np.float64(-0.17939988690600603)
np.float64(0.42728274342067807) np.float64(-0.0016275964942794041)
np.float64(0.45603245601218245) np.float64(-0.4464309738039033)
np.float64(0.41127615275318913) np.float64(-0.22599297947531324)
np.float64(0.19121906981821415) np.float64(-0.2725860720446204)
np.float64(0.3952695620857) np.float64(-0.45035836245634703)
np.float64(0.3665198494941957) np.float64(-0.005554985146723174)
np.float64(1.0106845076316315) np.float64(-0.09014109041983542)
np.float64(0.19448253856168785) np.float64(0.6209480712270711)
np.float64(0.30948138892770527) np.float64(-1.1582654380114243)
np.float64(1.140544316890839) np.float64(-0.21122676273749108)
np.float64(0.29310042254980184) np.float64(-0.3832862847161427)
np.float64(0.24311399360750185) np.float64(-0.14720262654263455)
np.float64(1.1322102954845963) np.float64(-0.08228631311494788)
np.float64(0.7241093109496244) np.float64(0.27325826770850536)
np.float64(0.7816087361326332) np.float64(-0.6163484869107424)
np.float64(0.46944163227225494) np.float64(-0.23876807578677375)
np.float64(1.812619601238628) np.float64(-0.054143469824460104)
np.float64(0.16260242114281634) np.float64(0.3815939298680644)
np.float64(0.32372086380488696) np.float64(-0.7905723772710799)
np.float64(0.6344810032225534) np.float64(-0.22810081307442048)
np.float64(0.33118753250419264) np.float64(-0.1480069147388497)
np.float64(0.36080308576096476) np.float64(-0.36346551228551977)
np.float64(0.43200203610112087) np.float64(-0.26107439565340546)
np.float64(1.2537360833375613) np.float64(-0.07443153581006046)
np.float64(0.31766949379936993) np.float64(-0.24283313988256355)
np.float64(0.5984894706608274) np.float64(-0.19231265866081262)
np.float64(-0.1881322021252534) np.float64(-0.36184486853079095)
np.float64(0.6280697669446901) np.float64(-1.0729340301776975)
np.float64(0.5130709165786728) np.float64(0.706279479060798)
np.float64(-1.9610897639416585) np.float64(-0.41169980978874565)
np.float64(0.8047354475791274) np.float64(-2.862205471016499)
np.float64(0.5091128638263723) np.float64(1.7115419444995659)
np.float64(7.816509161605254) np.float64(8.43456803764197)
np.float64(-6.515270106286663) np.float64(1.6567596748140596)
np.float64(-1.336287563165938) np.float64(-0.3713159354407387)
np.float64(-1.6311027018090922) np.float64(-0.7040665003950339)
np.float64(-1.5817997936908361) np.float64(-0.08568432718561467)
np.float64(-0.36287935861066334) np.float64(15.202636309120766)
np.float64(-1.4051283058258301) np.float64(2.1302194152074616)
np.float64(-1.8149202000966331) np.float64(-3.0095991434660445)
np.float64(-3.7961531251733467) np.float64(0.10946057674067183)
np.float64(-1.605962579428868) np.float64(-0.3887462869312388)
np.float64(-1.758471281555842) np.float64(-2.301588069578693)
np.float64(-1.4472852035215513) np.float64(1.6014661426759786)
np.float64(2.917700677795943) np.float64(0.6912449103376774)
np.float64(0.1675308263751556) np.float64(0.6737993067819976)
np.float64(0.28955754855180915) np.float64(-1.2141464587084716)
np.float64(2.6072880559485085) np.float64(-0.11642428799381657)
np.float64(-1.869720567626315) np.float64(-1.263929919251325)
np.float64(-1.767184652296659) np.float64(0.3480504899232662)
np.float64(2.4560833594207976) np.float64(0.3483803080428021)
np.float64(0.9573950898995807) np.float64(1.6347295507288266)
np.float64(1.5481773002720352) np.float64(-2.5705827258006155)
np.float64(-5.380790522321729) np.float64(-0.05902374386592224)
np.float64(1.4635209571972407) np.float64(-0.11041075754729096)
np.float64(-0.13364238497417258) np.float64(0.7734131851908035)
np.float64(-0.15164302641393956) np.float64(-1.6241185649285796)
np.float64(-3.446213153755206) np.float64(62.90667095253318)
np.float64(-2.3539371831243514) np.float64(0.6978487717949955)
np.float64(-2.424797158660364) np.float64(-1.5762373381395876)
np.float64(-4.24367415844113) np.float64(-0.6563685888042848)
np.float64(2.1399983066118646) np.float64(0.16846445956558687)
np.float64(-2.5107949029800656) np.float64(-0.23360483868441695)
np.float64(-8.55294694741566) np.float64(12.555994941277307)
np.float64(-0.5542241298553208) np.float64(-0.4142828294478659)
np.float64(0.6246907384741578) np.float64(-1.4499528490175029)
np.float64(0.5021020040735438) np.float64(0.7914070195282712)
