77 7 1e-07
np.float64(0.25198196374469656) np.float64(-0.26865868339217663)
np.float64(0.6600829482796683) np.float64(-0.6242032642156299)
np.float64(0.6025835230966596) np.float64(0.2654034904036178)
np.float64(0.6920961296146465) np.float64(-0.17547249825356231)
np.float64(0.5048828117070082) np.float64(-0.20915281906806293)
np.float64(0.13045617589173175) np.float64(-0.2765134606970642)
np.float64(0.6355002463912853) np.float64(-0.24387011171727763)
np.float64(0.2117782992207668) np.float64(-0.3298998727066034)
np.float64(0.1867850847496168) np.float64(-0.21185804361984936)
np.float64(0.631333235688164) np.float64(-0.17939988690600603)
np.float64(0.42728274342067807) np.float64(-0.0016275964942794041)
np.float64(0.45603245601218245) np.float64(-0.4464309738039033)
np.float64(0.41127615275318913) np.float64(-0.22599297947531324)
np.float64(0.19121906981821415) np.float64(-0.2725860720446204)
np.float64(0.3952695620857) np.float64(-0.45035836245634703)
np.float64(0.3665198494941957) np.float64(-0.005554985146723174)
np.float64(1.0106845076316315) np.float64(-0.09014109041983542)
np.float64(0.19448253856168785) np.float64(0.6209480712270711)
np.float64(0.30948138892770527) np.float64(-1.1582654380114243)
np.float64(1.140544316890839) np.float64(-0.21122676273749108)
np.float64(0.29310042254980184) np.float64(-0.3832862847161427)
np.float64(0.24311399360750185) np.float64(-0.14720262654263455)
np.float64(1.1322102954845963) np.float64(-0.08228631311494788)
np.float64(0.7241093109496244) np.float64(0.27325826770850536)
np.float64(0.7816087361326332) np.float64(-0.6163484869107424)
np.float64(0.46944163227225494) np.float64(-0.23876807578677375)
np.float64(1.812619601238628) np.float64(-0.054143469824460104)
np.float64(0.16260242114281634) np.float64(0.3815939298680644)
np.float64(0.32372086380488696) np.float64(-0.7905723772710799)
np.float64(0.6344810032225534) np.float64(-0.22810081307442048)
np.float64(0.33118753250419264) np.float64(-0.1480069147388497)
np.float64(0.36080308576096476) np.float64(-0.36346551228551977)
np.float64(0.43200203610112087) np.float64(-0.26107439565340546)
np.float64(1.2537360833375613) np.float64(-0.07443153581006046)
np.float64(0.31766949379936993) np.float64(-0.24283313988256355)
np.float64(0.5984894706608274) np.float64(-0.19231265866081262)
np.float64(-0.1881322021252534) np.float64(-0.36184486853079095)
np.float64(0.6280697669446901) np.float64(-1.0729340301776975)
np.float64(0.5130709165786728) np.float64(0.706279479060798)
np.float64(8.324928798484828) np.float64(0.25313344568089025)
np.float64(1.449928974714559) np.float64(-1.1427220099785698)
np.float64(1.0444075089702802) np.float64(0.7725376540254875)
np.float64(1.8551365755942437) np.float64(0.033762484484994804)
np.float64(2.7174767754454994) np.float64(0.1889004570760242)
np.float64(2.102243985448954) np.float64(-0.14906763697360323)
np.float64(8.723789589810371) np.float64(-5.917871794573753)
np.float64(7.790846322085281) np.float64(8.516231329121412)
np.float64(2.0546205338123587) np.float64(0.096557083669639)
np.float64(1.9440429184773471) np.float64(1.4030173279131692)
np.float64(2.5444233507707117) np.float64(-1.536357387058128)
np.float64(3.5798169752967546) np.float64(0.3440384296670532)
np.float64(16.51940142107789) np.float64(0.7827803520588482)
np.float64(2.769401773537386) np.float64(-2.008930559260074)
np.float64(1.9583588420488294) np.float64(1.8215887687480388)
np.float64(1.217779908259544) np.float64(-0.04629239878292349)
np.float64(0.20954631775369942) np.float64(0.8320980067609437)
np.float64(0.3516014808167014) np.float64(-1.3657193137977472)
np.float64(1.116350080670343) np.float64(-0.21279054883533366)
np.float64(4.427122882851053) np.float64(-3.0971926276354136)
np.float64(3.960651248988506) np.float64(4.119858934212182)
np.float64(1.0925383548520453) np.float64(-0.0899781885137125)
np.float64(1.0372495471845393) np.float64(0.5632519336080528)
np.float64(1.3374397633312218) np.float64(-0.9064354238775965)
np.float64(3.044308144501074) np.float64(0.04793840606180222)
np.float64(0.7147187764633982) np.float64(-0.19927811768659967)
np.float64(0.20450219822011428) np.float64(1.239378493577588)
np.float64(0.7712376210390268) np.float64(-1.9809087074954248)
np.float64(2.0963480917742183) np.float64(-0.08768539623079877)
np.float64(3.6640228436475546) np.float64(1.9856465478314163)
np.float64(3.9302837726641875) np.float64(-1.710883930044206)
np.float64(3.4380308224998797) np.float64(-0.10716654918489732)
np.float64(0.9927963757429877) np.float64(-0.12137548810603463)
np.float64(5.304497374999267) np.float64(0.6543143748491121)
np.float64(2.2000726555347465) np.float64(0.09581767352140663)
np.float64(-2.7982840978214862) np.float64(-1.0609536599624607)
np.float64(0.6947046898437358) np.float64(-1.1795818874644333)
np.float64(0.47444879995288003) np.float64(0.6070738303965949)
