116 families
D2 A A I n=5: 0 concurrency roots, 0 evals, 0.3s
/home/user/Solving-hard-math-problems-/experiments/506/symmetric/concur.py:96: RuntimeWarning: All-NaN slice encountered
  dP = np.nanmin(np.hypot(P[:, w, None, 0] - pts[None, :, 0], P[:, w, None, 1] - pts[None, :, 1]), axis=1)
D2 G C n=5: 0 concurrency roots, 0 evals, 0.6s
D2 A A C n=5: 0 concurrency roots, 0 evals, 0.3s
D2 A B I n=5: 0 concurrency roots, 0 evals, 0.4s
D2 A B C n=5: 0 concurrency roots, 0 evals, 0.7s
D2 G I n=5: 0 concurrency roots, 0 evals, 0.3s
D2 A B C I n=6: 0 concurrency roots, 0 evals, 1.0s
D2 A A C I n=6: 0 concurrency roots, 0 evals, 0.4s
D2 A A B n=6: 122 concurrency roots, 34 evals, 12.0s
D2 G C I n=6: 0 concurrency roots, 0 evals, 0.7s
D2 A B B n=6: 150 concurrency roots, 41 evals, 13.2s
D2 A A A n=6: 0 concurrency roots, 0 evals, 2.2s
D2 A G n=6: 14 concurrency roots, 5 evals, 5.1s
D3 A A n=6: 0 concurrency roots, 0 evals, 0.8s
D3 G n=6: 0 concurrency roots, 0 evals, 0.4s
D3 A B n=6: 4 concurrency roots, 1 evals, 0.9s
D2 A A B I n=7: 122 concurrency roots, 34 evals, 12.9s
D2 A A B C n=7: 327 concurrency roots, 162 evals, 25.5s
D2 A G I n=7: 14 concurrency roots, 5 evals, 5.8s
D2 A A A I n=7: 0 concurrency roots, 0 evals, 3.3s
D2 A B B I n=7: 150 concurrency roots, 41 evals, 13.7s
D2 A A A C n=7: 0 concurrency roots, 0 evals, 2.9s
D2 A G C n=7: 386 concurrency roots, 171 evals, 25.6s
D2 A B B C n=7: 387 concurrency roots, 210 evals, 27.0s
D3 G C n=7: 0 concurrency roots, 0 evals, 0.9s
D3 A A C n=7: 68 concurrency roots, 13 evals, 3.0s
D3 A B I n=7: 4 concurrency roots, 1 evals, 0.9s
D3 A B C n=7: 68 concurrency roots, 17 evals, 4.0s
D3 G I n=7: 0 concurrency roots, 0 evals, 0.4s
D3 A A I n=7: 0 concurrency roots, 0 evals, 0.7s
D2 A A B C I n=8: 388 concurrency roots, 162 evals, 25.8s
D2 A A A C I n=8: 0 concurrency roots, 0 evals, 3.4s
D2 A G C I n=8: 386 concurrency roots, 171 evals, 25.1s
D2 G G n=8: 593 concurrency roots, 550 evals, 25.5s
D2 A A G n=8: 610 concurrency roots, 601 evals, 32.6s
D2 A B G n=8: 470 concurrency roots, 467 evals, 25.8s
D2 A B B C I n=8: 356 concurrency roots, 210 evals, 25.0s
D3 A B C I n=8: 68 concurrency roots, 17 evals, 4.8s
D3 A A C I n=8: 68 concurrency roots, 13 evals, 3.6s
D3 G C I n=8: 0 concurrency roots, 0 evals, 1.1s
D4 G n=8: 0 concurrency roots, 0 evals, 0.6s
D4 A B n=8: 28 concurrency roots, 7 evals, 2.7s
D4 A A n=8: 20 concurrency roots, 5 evals, 2.0s
D2 A B G C n=9: 1268 concurrency roots, 1266 evals, 62.8s
  NEW n=9 best=25 (formula 25) D2 G G I params=[1.0, 0.523599, 1.0, 0.392699] nb=29 deg=4 lines=28 concur
D2 G G I n=9: 593 concurrency roots, 550 evals, 25.1s
D2 A A G C n=9: 1587 concurrency roots, 1579 evals, 46.9s
D2 A B G I n=9: 977 concurrency roots, 974 evals, 29.3s
  NEW n=9 best=25 (formula 25) D2 G G C params=[1.0, 0.785398, 1.0, 1.047198] nb=29 deg=4 lines=4 concur
D2 G G C n=9: 1126 concurrency roots, 1106 evals, 34.5s
D2 A A G I n=9: 863 concurrency roots, 851 evals, 29.7s
D3 A A B n=9: 931 concurrency roots, 924 evals, 28.6s
D3 A B B n=9: 1076 concurrency roots, 821 evals, 31.5s
D3 A A A n=9: 1530 concurrency roots, 1134 evals, 30.1s
D3 A G n=9: 1028 concurrency roots, 463 evals, 26.6s
D4 A A I n=9: 20 concurrency roots, 5 evals, 1.1s
D4 A B C n=9: 600 concurrency roots, 150 evals, 15.2s
D4 A A C n=9: 236 concurrency roots, 58 evals, 5.4s
D4 G C n=9: 12 concurrency roots, 3 evals, 1.1s
D4 A B I n=9: 28 concurrency roots, 7 evals, 1.6s
D4 G I n=9: 0 concurrency roots, 0 evals, 0.4s
D2 G G C I n=10: 1126 concurrency roots, 1106 evals, 28.6s
D2 A G G n=10: 2973 concurrency roots, 2973 evals, 71.6s
D2 A B G C I n=10: 1268 concurrency roots, 1266 evals, 34.6s
D2 A A G C I n=10: 1587 concurrency roots, 1579 evals, 39.4s
D3 A B B I n=10: 1076 concurrency roots, 821 evals, 28.5s
