230 families
  NEW n=5 best=5 (formula 5) D2 A B C params=[1.0, 1.0] nb=7 deg=2 lines=2 root p1 lvl0
D2 A B C n=5 p=2 K=8: 10 roots, 11 evals, 0.2s
D2 A A I n=5 p=2 K=9: 0 roots, 10 evals, 0.1s
D2 A B I n=5 p=2 K=8: 10 roots, 11 evals, 0.2s
D2 G I n=5 p=2 K=6: 0 roots, 6 evals, 0.0s
D2 G C n=5 p=2 K=6: 0 roots, 6 evals, 0.0s
D2 A A C n=5 p=2 K=9: 0 roots, 10 evals, 0.1s
D3 A C I n=5 p=1 K=3: 0 roots, 1 evals, 0.0s
D4 A I n=5 p=1 K=5: 0 roots, 1 evals, 0.0s
D4 A C n=5 p=1 K=5: 0 roots, 1 evals, 0.0s
D5 A n=5 p=1 K=7: 0 roots, 1 evals, 0.0s
D2 A A C I n=6 p=2 K=9: 0 roots, 10 evals, 0.1s
D2 G C I n=6 p=2 K=6: 0 roots, 6 evals, 0.1s
D2 A A A n=6 p=3 K=38: 0 roots, 24 evals, 1.5s
D2 A A B n=6 p=3 K=30: 304 roots, 92 evals, 4.6s
D2 A B B n=6 p=3 K=30: 318 roots, 93 evals, 5.0s
  NEW n=6 best=9 (formula 9) D2 A G params=[1.0, 1.414214, 0.785398] nb=11 deg=2 lines=2 base
D2 A G n=6 p=3 K=24: 160 roots, 59 evals, 2.5s
D2 A B C I n=6 p=2 K=8: 10 roots, 11 evals, 0.2s
D3 A A n=6 p=2 K=20: 10 roots, 10 evals, 0.4s
  NEW n=6 best=8 (formula 9) D3 A B params=[1.0, 2.0] nb=11 deg=3 lines=3 base
D3 A B n=6 p=2 K=20: 30 roots, 10 evals, 0.3s
D3 G n=6 p=2 K=16: 6 roots, 6 evals, 0.1s
D4 A C I n=6 p=1 K=5: 0 roots, 1 evals, 0.0s
D5 A C n=6 p=1 K=7: 0 roots, 1 evals, 0.0s
D5 A I n=6 p=1 K=7: 0 roots, 1 evals, 0.0s
D6 A n=6 p=1 K=12: 0 roots, 1 evals, 0.0s
D2 A B B C n=7 p=3 K=30: 156 roots, 71 evals, 2.4s
D2 A A B C n=7 p=3 K=30: 141 roots, 64 evals, 2.4s
  NEW n=7 best=13 (formula 13) D2 A G I params=[1.0, 1.0, 0.785398] nb=16 deg=3 lines=15 root p1 lvl0
D2 A G I n=7 p=3 K=24: 114 roots, 46 evals, 2.0s
D2 A A A C n=7 p=3 K=38: 0 roots, 24 evals, 1.7s
D2 A B B I n=7 p=3 K=30: 156 roots, 71 evals, 2.7s
D2 A A A I n=7 p=3 K=38: 0 roots, 24 evals, 1.6s
D2 A A B I n=7 p=3 K=30: 141 roots, 64 evals, 2.2s
  NEW n=7 best=13 (formula 13) D2 A G C params=[1.0, 1.0, 0.785398] nb=16 deg=3 lines=3 root p1 lvl0
D2 A G C n=7 p=3 K=24: 114 roots, 46 evals, 2.0s
D3 G I n=7 p=2 K=16: 6 roots, 6 evals, 0.1s
D3 G C n=7 p=2 K=16: 6 roots, 6 evals, 0.1s
  NEW n=7 best=11 (formula 13) D3 A B C params=[1.0, 2.0] nb=17 deg=6 lines=6 base
D3 A B C n=7 p=2 K=20: 30 roots, 10 evals, 0.3s
D3 A A C n=7 p=2 K=20: 10 roots, 10 evals, 0.3s
D3 A A I n=7 p=2 K=20: 10 roots, 10 evals, 0.3s
  NEW n=7 best=11 (formula 13) D3 A B I params=[1.0, 2.0] nb=17 deg=6 lines=9 base
D3 A B I n=7 p=2 K=20: 30 roots, 10 evals, 0.3s
D5 A C I n=7 p=1 K=7: 0 roots, 1 evals, 0.0s
D6 A I n=7 p=1 K=12: 0 roots, 1 evals, 0.0s
D6 A C n=7 p=1 K=12: 0 roots, 1 evals, 0.0s
D2 A A A C I n=8 p=3 K=38: 0 roots, 24 evals, 1.7s
  NEW n=8 best=19 (formula 19) D2 A A G params=[1.0, 4.0, 2.0, 0.643501] nb=20 deg=1 lines=1 root p3 lvl1
D2 A A G n=8 p=4 K=69: 561 roots, 415 evals, 11.5s
  NEW n=8 best=18 (formula 19) D2 G G params=[1.0, 0.314159, 1.414214, 0.314159] nb=20 deg=2 lines=2 base
